cgpa,avg_ca_score,avg_exam_score,attendance_rate,courses_registered,level,gender,department,performance_category
4.54,15.34,56.13,87.31,6.0,400.0,Male,Business Administration,Excellent
3.93,26.17,51.5,100.0,4.0,200.0,Male,Electrical Engineering,Good
1.72,0.0,32.4,49.39,5.0,400.0,Male,Electrical Engineering,At-Risk
2.14,20.18,33.72,51.31,5.0,100.0,Female,Economics,At-Risk
1.91,12.34,31.36,63.13,7.0,500.0,Female,Computer Science,At-Risk
1.21,12.25,2.76,46.91,5.0,300.0,Female,Electrical Engineering,At-Risk
1.17,2.48,31.01,58.37,8.0,300.0,Female,Mechanical Engineering,At-Risk
4.71,20.51,56.44,88.2,5.0,500.0,Female,Accounting,Excellent
2.47,16.13,46.82,57.16,4.0,300.0,Female,Accounting,Average
2.22,13.18,39.32,38.86,4.0,100.0,Male,Accounting,At-Risk
3.78,20.24,57.59,59.21,6.0,300.0,Male,Accounting,Good
2.99,18.35,35.0,47.5,6.0,400.0,Male,Other,Average
4.71,30.0,67.19,90.34,7.0,200.0,Female,Mechanical Engineering,Excellent
4.01,28.24,52.39,64.51,6.0,100.0,Male,Accounting,Good
2.66,21.19,37.43,74.44,4.0,100.0,Female,Economics,Average
2.19,17.38,28.71,56.63,5.0,500.0,Male,Civil Engineering,At-Risk
4.94,30.0,52.85,86.84,6.0,100.0,Female,Electrical Engineering,Excellent
3.73,21.43,61.19,66.32,5.0,300.0,Female,Computer Science,Good
4.78,18.41,66.28,93.59,7.0,500.0,Male,Civil Engineering,Excellent
1.03,5.26,10.59,34.35,8.0,200.0,Female,Mechanical Engineering,At-Risk
4.33,30.0,56.1,72.08,5.0,200.0,Female,Mechanical Engineering,Good
3.37,15.35,50.0,82.29,6.0,400.0,Male,Mechanical Engineering,Average
1.05,5.41,7.53,46.13,8.0,400.0,Male,Medicine,At-Risk
3.15,15.42,26.02,65.42,5.0,100.0,Female,Mass Communication,Average
3.59,29.03,53.48,79.46,6.0,300.0,Female,Accounting,Good
0.56,7.08,11.93,36.75,5.0,100.0,Male,Computer Science,At-Risk
2.54,18.52,34.02,64.36,7.0,200.0,Female,Law,Average
4.21,28.39,49.82,72.4,7.0,200.0,Male,Electrical Engineering,Good
1.83,10.79,26.32,72.65,4.0,500.0,Female,Computer Science,At-Risk
2.56,16.37,24.17,54.97,4.0,500.0,Female,Economics,Average
2.49,9.02,26.65,75.45,4.0,400.0,Male,Business Administration,Average
1.86,0.22,20.02,50.42,4.0,400.0,Male,Civil Engineering,At-Risk
4.63,28.55,70.0,93.67,4.0,100.0,Female,Other,Excellent
4.02,25.71,53.32,85.53,7.0,100.0,Male,Electrical Engineering,Good
1.0,12.03,10.38,53.44,8.0,400.0,Male,Computer Science,At-Risk
4.99,30.0,70.0,81.43,6.0,300.0,Male,Economics,Excellent
4.46,30.0,65.21,94.23,8.0,300.0,Male,Business Administration,Good
1.78,5.68,27.6,69.8,7.0,400.0,Male,Law,At-Risk
4.27,23.83,56.77,78.61,8.0,200.0,Female,Computer Science,Good
0.98,8.27,8.93,42.09,7.0,400.0,Female,Business Administration,At-Risk
5.0,30.0,52.45,84.72,4.0,400.0,Female,Electrical Engineering,Excellent
3.5,28.37,56.69,68.48,6.0,200.0,Male,Computer Science,Average
3.43,26.15,51.54,88.22,6.0,400.0,Male,Accounting,Average
0.91,3.5,11.26,30.84,7.0,100.0,Female,Law,At-Risk
4.54,22.8,62.42,75.02,7.0,200.0,Female,Electrical Engineering,Excellent
0.63,7.73,14.72,53.67,4.0,400.0,Female,Mass Communication,At-Risk
1.58,4.0,9.73,55.25,7.0,500.0,Male,Accounting,At-Risk
1.14,5.67,11.29,64.93,8.0,100.0,Male,Accounting,At-Risk
4.0,23.4,46.85,73.44,4.0,400.0,Female,Other,Good
1.39,16.32,33.66,47.97,6.0,300.0,Male,Civil Engineering,At-Risk
4.6,25.81,70.0,78.57,8.0,400.0,Female,Mechanical Engineering,Excellent
3.45,8.52,30.72,72.87,4.0,400.0,Female,Law,Average
0.66,6.5,0.0,20.21,4.0,100.0,Female,Electrical Engineering,At-Risk
0.52,0.0,6.28,43.14,8.0,400.0,Male,Mass Communication,At-Risk
0.73,4.61,6.47,42.02,4.0,200.0,Female,Mass Communication,At-Risk
3.23,18.93,34.58,68.14,7.0,100.0,Female,Other,Average
4.11,23.27,70.0,75.38,8.0,300.0,Female,Accounting,Good
1.57,13.39,24.53,39.93,6.0,100.0,Female,Economics,At-Risk
4.32,18.27,64.31,89.15,6.0,400.0,Male,Mass Communication,Good
0.76,1.96,5.07,27.38,6.0,300.0,Female,Electrical Engineering,At-Risk
4.1,28.05,63.24,84.37,5.0,300.0,Female,Civil Engineering,Good
4.68,24.98,62.41,100.0,5.0,100.0,Female,Accounting,Excellent
3.97,15.8,53.38,92.55,6.0,400.0,Male,Economics,Good
3.64,25.19,55.87,58.65,8.0,100.0,Female,Medicine,Good
4.27,30.0,46.76,75.88,8.0,200.0,Male,Other,Good
0.68,3.86,22.31,42.38,8.0,200.0,Female,Accounting,At-Risk
1.41,0.0,21.17,46.19,4.0,400.0,Female,Electrical Engineering,At-Risk
1.06,9.9,25.12,28.75,5.0,300.0,Male,Mechanical Engineering,At-Risk
2.77,8.32,30.18,67.1,7.0,500.0,Male,Law,Average
3.85,24.66,46.56,76.14,6.0,500.0,Male,Accounting,Good
3.34,15.57,37.4,89.16,5.0,400.0,Male,Economics,Average
4.33,20.18,62.62,79.43,5.0,100.0,Male,Economics,Good
1.2,4.98,17.31,56.06,4.0,400.0,Female,Law,At-Risk
3.81,21.92,49.57,63.0,5.0,200.0,Female,Mechanical Engineering,Good
1.37,4.99,11.05,36.14,6.0,500.0,Male,Electrical Engineering,At-Risk
1.72,13.25,13.93,57.84,6.0,500.0,Female,Law,At-Risk
3.69,19.94,51.34,85.17,6.0,100.0,Male,Business Administration,Good
4.91,30.0,65.03,79.36,5.0,100.0,Female,Law,Excellent
3.25,20.92,40.04,69.26,5.0,400.0,Male,Electrical Engineering,Average
0.75,0.98,22.81,25.13,8.0,100.0,Male,Mechanical Engineering,At-Risk
3.27,15.31,45.17,67.47,6.0,500.0,Male,Other,Average
0.69,0.0,19.83,46.66,5.0,300.0,Male,Mass Communication,At-Risk
4.48,28.33,58.44,79.39,7.0,300.0,Female,Computer Science,Good
3.69,20.39,53.66,71.83,6.0,500.0,Female,Law,Good
1.28,0.0,17.46,34.05,6.0,200.0,Female,Computer Science,At-Risk
0.91,2.8,0.0,34.47,5.0,300.0,Female,Electrical Engineering,At-Risk
1.33,3.45,29.99,63.49,7.0,500.0,Female,Mass Communication,At-Risk
4.91,30.0,67.66,89.65,4.0,100.0,Male,Electrical Engineering,Excellent
2.56,6.87,41.86,50.74,8.0,100.0,Male,Civil Engineering,Average
4.03,16.96,50.38,75.19,6.0,100.0,Female,Electrical Engineering,Good
3.36,25.73,45.77,54.39,6.0,200.0,Female,Economics,Average
3.08,25.24,36.13,56.77,5.0,100.0,Female,Computer Science,Average
1.15,3.19,26.03,57.44,6.0,100.0,Male,Civil Engineering,At-Risk
4.76,25.38,69.09,85.66,7.0,500.0,Male,Civil Engineering,Excellent
1.86,14.22,28.92,71.18,6.0,300.0,Female,Medicine,At-Risk
3.1,6.97,54.28,66.26,4.0,200.0,Male,Accounting,Average
3.65,12.59,60.34,73.43,6.0,300.0,Female,Mechanical Engineering,Good
3.42,19.13,54.02,77.47,5.0,500.0,Female,Accounting,Average
4.73,30.0,54.88,60.07,4.0,300.0,Male,Accounting,Excellent
1.17,4.83,10.79,46.07,8.0,300.0,Female,Civil Engineering,At-Risk
2.79,17.23,31.0,62.96,5.0,500.0,Female,Accounting,Average
2.32,19.58,38.27,72.68,6.0,100.0,Male,Civil Engineering,At-Risk
2.63,26.34,38.24,71.25,4.0,300.0,Female,Civil Engineering,Average
1.04,3.33,3.39,31.1,5.0,400.0,Male,Law,At-Risk
1.1,6.54,13.94,55.66,5.0,300.0,Male,Mechanical Engineering,At-Risk
1.75,19.62,12.57,48.39,4.0,500.0,Male,Civil Engineering,At-Risk
1.87,3.62,25.77,43.41,8.0,500.0,Female,Electrical Engineering,At-Risk
2.43,19.69,20.71,61.08,5.0,200.0,Female,Medicine,Average
3.25,14.41,49.72,66.97,6.0,500.0,Female,Medicine,Average
3.36,20.65,50.01,85.65,6.0,200.0,Female,Medicine,Average
2.35,12.91,48.21,61.64,6.0,200.0,Male,Electrical Engineering,At-Risk
2.34,9.25,39.54,60.13,6.0,500.0,Female,Business Administration,At-Risk
1.48,3.96,17.33,56.76,6.0,100.0,Male,Civil Engineering,At-Risk
3.15,20.27,50.61,78.7,4.0,200.0,Female,Law,Average
1.93,16.54,15.79,60.96,7.0,400.0,Female,Civil Engineering,At-Risk
0.66,3.32,1.57,52.14,4.0,300.0,Female,Business Administration,At-Risk
2.38,14.65,36.02,64.68,6.0,500.0,Female,Business Administration,At-Risk
2.63,18.66,19.6,63.28,5.0,200.0,Female,Law,Average
1.52,4.23,20.92,60.57,6.0,300.0,Female,Medicine,At-Risk
3.08,22.15,34.9,66.0,4.0,100.0,Male,Mass Communication,Average
3.05,22.37,43.45,66.88,7.0,200.0,Female,Business Administration,Average
3.66,30.0,42.6,91.12,6.0,100.0,Female,Mass Communication,Good
3.42,18.61,51.21,87.21,4.0,400.0,Female,Mass Communication,Average
3.44,18.33,48.26,71.15,4.0,200.0,Female,Accounting,Average
1.92,15.38,38.12,48.54,6.0,400.0,Male,Medicine,At-Risk
4.04,28.36,56.66,93.15,7.0,200.0,Male,Other,Good
2.97,15.15,35.45,73.66,6.0,300.0,Male,Mass Communication,Average
2.44,12.63,32.2,62.45,7.0,500.0,Male,Civil Engineering,Average
3.32,22.61,35.68,66.59,7.0,500.0,Male,Medicine,Average
2.12,8.6,32.97,58.79,8.0,100.0,Female,Business Administration,At-Risk
2.81,14.79,44.02,63.47,8.0,400.0,Female,Electrical Engineering,Average
3.82,23.34,70.0,69.14,8.0,500.0,Female,Business Administration,Good
4.49,30.0,57.87,85.16,7.0,400.0,Female,Other,Good
4.64,24.85,62.88,88.39,6.0,100.0,Female,Other,Excellent
2.77,7.39,34.12,59.44,6.0,400.0,Female,Law,Average
2.84,7.46,41.47,73.13,7.0,400.0,Female,Other,Average
4.1,18.3,60.45,92.08,4.0,400.0,Male,Economics,Good
1.92,4.92,26.38,62.68,7.0,300.0,Female,Law,At-Risk
4.27,24.84,68.45,78.46,6.0,300.0,Female,Electrical Engineering,Good
2.72,10.4,33.2,70.24,6.0,400.0,Female,Civil Engineering,Average
1.02,2.61,22.19,43.04,8.0,300.0,Female,Electrical Engineering,At-Risk
0.82,1.08,15.85,27.53,7.0,400.0,Male,Other,At-Risk
4.29,23.53,59.95,88.19,8.0,400.0,Male,Economics,Good
0.75,11.11,7.98,40.46,8.0,200.0,Male,Other,At-Risk
1.76,13.89,44.09,77.09,8.0,400.0,Male,Business Administration,At-Risk
2.0,12.1,21.51,68.62,5.0,400.0,Male,Business Administration,At-Risk
1.28,5.37,20.28,52.45,4.0,300.0,Female,Medicine,At-Risk
1.91,9.31,20.77,55.44,5.0,400.0,Male,Economics,At-Risk
3.84,24.69,68.07,77.74,7.0,100.0,Female,Business Administration,Good
0.57,6.32,15.02,26.76,8.0,200.0,Female,Civil Engineering,At-Risk
4.22,20.8,53.69,63.28,8.0,400.0,Female,Accounting,Good
4.35,26.31,65.06,73.53,7.0,500.0,Male,Computer Science,Good
2.18,2.89,32.51,55.62,7.0,400.0,Male,Mechanical Engineering,At-Risk
1.19,8.21,12.54,23.24,8.0,400.0,Female,Computer Science,At-Risk
3.2,23.03,50.92,63.0,7.0,200.0,Female,Electrical Engineering,Average
1.04,4.83,17.65,39.99,4.0,400.0,Female,Mechanical Engineering,At-Risk
2.14,21.94,31.72,53.55,6.0,200.0,Male,Computer Science,At-Risk
4.81,24.47,67.05,81.14,5.0,100.0,Male,Computer Science,Excellent
4.98,30.0,70.0,86.34,7.0,200.0,Male,Mass Communication,Excellent
3.97,23.67,57.48,94.93,7.0,400.0,Female,Mechanical Engineering,Good
1.9,10.89,27.06,59.41,5.0,500.0,Female,Economics,At-Risk
3.59,21.0,45.19,67.53,5.0,300.0,Male,Electrical Engineering,Good
3.67,22.58,64.99,73.41,4.0,500.0,Male,Other,Good
2.25,17.71,23.03,56.66,5.0,400.0,Female,Mechanical Engineering,At-Risk
3.38,27.19,50.8,62.93,8.0,300.0,Female,Law,Average
0.55,3.28,5.11,28.89,7.0,500.0,Female,Medicine,At-Risk
1.44,12.72,34.25,57.39,8.0,300.0,Male,Law,At-Risk
2.86,13.67,32.85,60.16,8.0,300.0,Female,Economics,Average
1.24,11.25,11.43,33.9,8.0,400.0,Male,Accounting,At-Risk
1.25,3.67,9.69,44.53,4.0,400.0,Female,Law,At-Risk
4.26,30.0,62.27,82.34,5.0,300.0,Male,Law,Good
4.95,30.0,58.33,69.69,4.0,300.0,Male,Business Administration,Excellent
3.0,17.4,38.2,65.61,4.0,500.0,Female,Other,Average
4.28,14.69,42.64,89.99,5.0,100.0,Female,Other,Good
4.96,27.0,70.0,93.99,5.0,100.0,Male,Medicine,Excellent
1.14,12.98,11.92,65.94,4.0,300.0,Female,Other,At-Risk
2.52,17.87,23.34,72.72,8.0,100.0,Male,Electrical Engineering,Average
2.27,14.84,40.42,71.69,6.0,200.0,Male,Accounting,At-Risk
0.86,10.2,1.58,68.32,7.0,300.0,Male,Medicine,At-Risk
3.9,25.82,60.96,84.37,7.0,300.0,Female,Other,Good
2.45,20.8,28.72,61.05,8.0,200.0,Male,Electrical Engineering,Average
2.61,20.27,49.38,71.08,4.0,200.0,Female,Law,Average
1.18,14.68,22.49,38.54,5.0,400.0,Female,Computer Science,At-Risk
1.31,9.68,10.33,46.85,5.0,500.0,Male,Civil Engineering,At-Risk
4.58,30.0,56.81,78.51,6.0,400.0,Male,Medicine,Excellent
0.7,2.67,14.66,42.39,6.0,300.0,Male,Civil Engineering,At-Risk
1.55,6.28,19.57,42.05,7.0,100.0,Male,Mass Communication,At-Risk
1.81,19.42,24.04,44.9,6.0,200.0,Female,Other,At-Risk
2.71,17.32,48.06,66.61,5.0,300.0,Female,Electrical Engineering,Average
3.14,22.86,37.96,66.29,6.0,200.0,Male,Mechanical Engineering,Average
2.72,16.94,38.81,43.36,8.0,400.0,Male,Computer Science,Average
0.88,2.34,19.94,25.99,6.0,200.0,Female,Medicine,At-Risk
1.6,9.63,28.82,37.69,6.0,500.0,Female,Mass Communication,At-Risk
4.3,30.0,58.87,72.72,4.0,200.0,Male,Economics,Good
3.37,22.99,44.86,74.57,4.0,300.0,Male,Electrical Engineering,Average
3.42,11.97,33.99,73.24,5.0,400.0,Female,Electrical Engineering,Average
3.52,20.02,40.77,82.84,4.0,200.0,Female,Computer Science,Good
3.93,30.0,57.61,84.72,6.0,400.0,Female,Accounting,Good
0.76,3.5,9.56,49.86,8.0,300.0,Male,Medicine,At-Risk
2.15,3.9,30.7,61.88,6.0,400.0,Male,Electrical Engineering,At-Risk
2.93,27.03,49.3,67.23,7.0,300.0,Male,Mass Communication,Average
2.02,15.55,18.82,65.27,8.0,500.0,Female,Mechanical Engineering,At-Risk
4.3,25.45,58.31,90.8,7.0,400.0,Male,Accounting,Good
2.67,14.17,38.91,65.82,7.0,100.0,Female,Medicine,Average
3.96,29.16,49.79,90.22,7.0,300.0,Female,Accounting,Good
4.33,23.29,70.0,58.55,5.0,500.0,Male,Accounting,Good
2.77,22.37,46.07,60.35,6.0,200.0,Male,Civil Engineering,Average
4.59,30.0,66.62,82.06,5.0,300.0,Male,Business Administration,Excellent
3.14,20.08,58.34,79.23,7.0,400.0,Female,Mechanical Engineering,Average
4.33,26.68,48.58,97.63,6.0,200.0,Female,Civil Engineering,Good
2.03,11.32,28.4,39.89,8.0,300.0,Female,Law,At-Risk
2.74,21.7,41.36,77.05,4.0,300.0,Female,Mass Communication,Average
2.89,13.02,33.16,52.98,4.0,100.0,Male,Mass Communication,Average
0.97,0.0,16.02,30.26,7.0,100.0,Male,Civil Engineering,At-Risk
2.29,16.83,23.26,55.18,7.0,300.0,Male,Civil Engineering,At-Risk
4.63,30.0,70.0,82.35,7.0,100.0,Female,Computer Science,Excellent
3.34,22.43,55.21,54.48,5.0,500.0,Male,Civil Engineering,Average
1.3,9.83,20.36,52.08,4.0,300.0,Male,Economics,At-Risk
2.02,10.55,13.53,61.09,5.0,400.0,Female,Mechanical Engineering,At-Risk
1.36,12.11,11.34,56.89,6.0,200.0,Male,Law,At-Risk
0.61,3.44,13.08,33.01,6.0,200.0,Female,Computer Science,At-Risk
4.67,25.61,65.6,85.69,8.0,300.0,Female,Business Administration,Excellent
2.52,13.54,13.69,59.9,8.0,400.0,Female,Civil Engineering,Average
1.88,21.41,36.32,69.49,7.0,200.0,Female,Accounting,At-Risk
3.19,10.48,45.8,39.98,4.0,200.0,Male,Computer Science,Average
0.53,5.7,0.91,26.83,4.0,100.0,Female,Business Administration,At-Risk
1.75,2.11,32.48,51.07,6.0,300.0,Female,Law,At-Risk
3.66,21.44,45.87,63.11,7.0,400.0,Female,Mass Communication,Good
3.35,17.94,41.42,67.64,7.0,300.0,Male,Mechanical Engineering,Average
4.92,19.08,70.0,87.76,5.0,200.0,Male,Business Administration,Excellent
3.29,21.69,60.33,62.92,4.0,200.0,Male,Medicine,Average
2.65,13.99,50.07,62.43,5.0,200.0,Female,Accounting,Average
3.93,13.06,57.85,83.4,7.0,200.0,Male,Accounting,Good
4.56,30.0,67.61,82.42,8.0,200.0,Female,Civil Engineering,Excellent
3.74,29.63,58.74,70.39,8.0,500.0,Male,Mass Communication,Good
4.83,30.0,57.63,86.36,6.0,200.0,Female,Economics,Excellent
4.02,25.91,61.42,78.15,4.0,200.0,Female,Other,Good
4.4,26.63,55.74,65.4,8.0,400.0,Male,Law,Good
1.01,12.72,16.74,46.78,4.0,500.0,Female,Business Administration,At-Risk
3.8,30.0,51.32,71.04,5.0,300.0,Male,Civil Engineering,Good
2.48,20.55,38.74,72.38,8.0,400.0,Male,Computer Science,Average
2.99,13.23,42.79,71.78,6.0,100.0,Male,Economics,Average
3.44,21.67,23.62,83.02,4.0,300.0,Male,Law,Average
4.86,30.0,69.53,78.26,6.0,100.0,Female,Civil Engineering,Excellent
4.93,20.54,70.0,85.45,4.0,100.0,Female,Computer Science,Excellent
1.8,13.13,28.73,39.14,5.0,300.0,Female,Mass Communication,At-Risk
3.8,30.0,52.41,68.57,8.0,200.0,Female,Mechanical Engineering,Good
3.87,26.45,67.39,89.02,5.0,100.0,Male,Economics,Good
2.06,19.72,31.32,69.59,8.0,100.0,Male,Computer Science,At-Risk
1.06,7.26,18.31,31.21,6.0,400.0,Female,Computer Science,At-Risk
0.68,3.74,17.94,33.63,7.0,300.0,Male,Mass Communication,At-Risk
4.0,25.89,58.87,77.21,7.0,200.0,Female,Medicine,Good
2.7,12.14,30.67,68.3,6.0,500.0,Female,Computer Science,Average
4.93,24.79,49.58,71.62,4.0,200.0,Female,Electrical Engineering,Excellent
2.59,21.89,32.48,45.08,8.0,500.0,Female,Accounting,Average
4.9,30.0,70.0,93.7,6.0,200.0,Female,Medicine,Excellent
2.35,9.16,30.1,38.73,7.0,100.0,Female,Business Administration,At-Risk
4.07,29.27,63.41,74.39,6.0,100.0,Male,Mass Communication,Good
0.88,4.86,13.53,42.2,7.0,200.0,Male,Medicine,At-Risk
3.0,19.7,52.3,70.15,5.0,100.0,Female,Economics,Average
4.11,26.96,55.17,77.89,8.0,100.0,Female,Civil Engineering,Good
4.66,30.0,69.0,82.28,5.0,200.0,Female,Medicine,Excellent
4.2,25.62,62.87,88.87,7.0,500.0,Male,Mass Communication,Good
0.67,11.05,21.34,40.85,6.0,200.0,Female,Computer Science,At-Risk
2.18,14.61,16.83,49.66,6.0,200.0,Female,Law,At-Risk
0.72,7.44,6.4,39.01,4.0,500.0,Male,Mass Communication,At-Risk
0.99,1.78,20.67,45.73,5.0,200.0,Male,Business Administration,At-Risk
3.54,30.0,61.91,89.65,4.0,500.0,Female,Law,Good
3.71,24.61,53.86,82.38,6.0,400.0,Male,Civil Engineering,Good
3.98,27.46,53.4,89.93,7.0,500.0,Male,Mechanical Engineering,Good
4.39,18.33,67.58,76.63,6.0,300.0,Male,Law,Good
3.83,18.85,60.53,70.69,7.0,300.0,Female,Civil Engineering,Good
4.1,30.0,54.58,76.89,5.0,200.0,Male,Law,Good
0.72,5.76,12.73,37.21,5.0,300.0,Female,Civil Engineering,At-Risk
1.56,0.0,31.22,38.58,6.0,400.0,Male,Business Administration,At-Risk
3.3,24.98,61.3,82.24,5.0,500.0,Male,Medicine,Average
4.36,23.45,67.0,91.17,8.0,100.0,Female,Civil Engineering,Good
0.52,10.18,7.64,33.19,8.0,100.0,Male,Law,At-Risk
2.82,16.46,38.99,70.21,6.0,100.0,Female,Computer Science,Average
3.55,22.31,54.13,74.8,7.0,400.0,Female,Computer Science,Good
0.63,9.69,7.94,44.8,4.0,100.0,Female,Computer Science,At-Risk
2.31,9.35,33.8,44.23,4.0,500.0,Male,Mechanical Engineering,At-Risk
4.53,22.22,54.96,82.91,5.0,200.0,Male,Computer Science,Excellent
3.52,20.15,59.69,71.69,5.0,200.0,Female,Business Administration,Good
1.57,13.55,12.85,55.07,5.0,500.0,Male,Computer Science,At-Risk
4.34,19.37,57.27,75.77,6.0,400.0,Male,Law,Good
2.07,4.06,29.71,29.79,7.0,300.0,Male,Electrical Engineering,At-Risk
4.34,30.0,70.0,71.26,6.0,500.0,Male,Other,Good
1.85,8.06,22.45,51.53,6.0,400.0,Male,Mass Communication,At-Risk
3.16,16.98,38.86,68.52,4.0,400.0,Female,Medicine,Average
2.29,4.43,27.6,74.27,5.0,200.0,Male,Law,At-Risk
1.74,7.03,37.59,56.67,8.0,500.0,Female,Law,At-Risk
4.49,26.9,40.35,84.69,8.0,400.0,Female,Mass Communication,Good
1.34,12.72,10.8,45.81,4.0,500.0,Male,Economics,At-Risk
0.88,1.43,34.19,51.62,4.0,500.0,Female,Economics,At-Risk
2.04,20.52,33.27,48.56,8.0,300.0,Male,Accounting,At-Risk
3.73,18.95,43.36,73.35,4.0,200.0,Male,Economics,Good
4.13,21.39,57.53,68.71,6.0,500.0,Male,Business Administration,Good
4.99,30.0,70.0,100.0,8.0,500.0,Female,Electrical Engineering,Excellent
1.83,12.06,32.44,55.93,7.0,100.0,Female,Other,At-Risk
2.34,11.25,47.42,50.95,6.0,400.0,Female,Medicine,At-Risk
1.12,5.92,18.73,42.24,5.0,400.0,Female,Medicine,At-Risk
3.09,25.29,38.9,72.14,7.0,400.0,Male,Civil Engineering,Average
4.99,30.0,70.0,87.36,7.0,500.0,Female,Law,Excellent
3.65,17.84,45.57,68.5,8.0,200.0,Female,Accounting,Good
3.18,18.86,36.23,61.6,6.0,500.0,Male,Computer Science,Average
2.27,14.04,17.64,60.58,8.0,400.0,Male,Other,At-Risk
4.62,22.78,52.14,81.85,7.0,100.0,Male,Other,Excellent
2.74,16.14,31.13,58.3,4.0,300.0,Male,Mass Communication,Average
1.1,6.65,6.04,29.9,5.0,100.0,Male,Accounting,At-Risk
2.14,18.57,32.52,56.51,7.0,500.0,Female,Mechanical Engineering,At-Risk
0.8,10.85,1.64,37.81,4.0,400.0,Male,Computer Science,At-Risk
1.41,6.81,0.0,43.69,7.0,500.0,Female,Law,At-Risk
0.58,2.41,0.0,38.94,5.0,400.0,Female,Mass Communication,At-Risk
2.54,18.56,31.78,67.96,5.0,200.0,Male,Electrical Engineering,Average
3.36,17.21,42.13,77.28,6.0,300.0,Female,Medicine,Average
2.04,15.21,40.78,60.07,8.0,500.0,Male,Computer Science,At-Risk
2.39,13.91,28.58,56.29,8.0,100.0,Male,Law,At-Risk
4.82,24.05,70.0,82.13,6.0,500.0,Female,Computer Science,Excellent
3.88,18.52,54.22,66.17,4.0,300.0,Female,Other,Good
2.93,24.84,40.74,59.27,8.0,300.0,Male,Electrical Engineering,Average
1.78,9.9,18.24,51.56,8.0,400.0,Female,Business Administration,At-Risk
4.54,30.0,63.04,76.57,7.0,100.0,Female,Medicine,Excellent
1.56,6.78,15.69,49.66,7.0,100.0,Female,Mass Communication,At-Risk
1.96,13.24,28.86,43.91,6.0,100.0,Female,Civil Engineering,At-Risk
4.59,30.0,62.38,68.48,4.0,400.0,Male,Other,Excellent
2.88,12.01,32.8,72.79,4.0,100.0,Male,Computer Science,Average
3.84,13.55,61.7,71.34,4.0,400.0,Male,Accounting,Good
3.16,25.38,47.63,59.53,8.0,100.0,Female,Other,Average
3.44,16.51,44.58,60.35,4.0,400.0,Female,Civil Engineering,Average
1.85,10.98,27.03,56.4,6.0,500.0,Female,Accounting,At-Risk
1.59,6.59,21.54,62.78,5.0,300.0,Female,Business Administration,At-Risk
1.95,13.05,20.38,49.38,4.0,200.0,Female,Business Administration,At-Risk
1.2,2.44,17.36,42.24,8.0,300.0,Male,Law,At-Risk
4.43,25.71,57.11,93.93,4.0,400.0,Male,Accounting,Good
1.77,12.9,17.29,33.19,8.0,400.0,Female,Medicine,At-Risk
3.03,13.12,29.39,85.99,7.0,400.0,Male,Accounting,Average
4.06,20.88,54.03,100.0,7.0,300.0,Female,Other,Good
4.03,22.43,60.92,51.26,4.0,400.0,Male,Accounting,Good
2.47,7.69,29.06,58.7,8.0,200.0,Female,Law,Average
2.64,13.75,57.17,54.53,6.0,200.0,Female,Economics,Average
4.98,30.0,70.0,87.07,6.0,500.0,Female,Law,Excellent
3.54,19.22,59.93,68.24,7.0,300.0,Female,Mass Communication,Good
4.17,23.64,64.68,88.11,5.0,500.0,Female,Mechanical Engineering,Good
4.56,27.27,70.0,83.61,5.0,400.0,Female,Civil Engineering,Excellent
4.04,20.99,50.32,69.42,5.0,300.0,Male,Civil Engineering,Good
1.33,11.46,0.0,44.28,6.0,300.0,Female,Accounting,At-Risk
3.03,25.36,38.85,71.51,7.0,400.0,Female,Accounting,Average
0.96,3.43,17.89,29.67,5.0,100.0,Male,Computer Science,At-Risk
3.44,23.05,49.35,54.8,5.0,300.0,Male,Mass Communication,Average
4.8,27.6,69.39,100.0,8.0,400.0,Male,Mass Communication,Excellent
2.81,18.67,49.87,57.26,6.0,100.0,Female,Economics,Average
2.45,22.52,37.33,58.01,8.0,100.0,Female,Civil Engineering,Average
0.66,6.51,15.65,33.96,5.0,100.0,Male,Mass Communication,At-Risk
4.82,20.05,59.95,93.31,5.0,300.0,Female,Mechanical Engineering,Excellent
0.96,8.05,4.73,59.29,5.0,200.0,Male,Civil Engineering,At-Risk
0.68,10.27,22.5,44.02,6.0,300.0,Female,Other,At-Risk
1.61,8.54,23.31,34.1,7.0,100.0,Male,Other,At-Risk
0.79,9.75,6.14,25.7,6.0,200.0,Male,Economics,At-Risk
2.55,11.84,30.7,56.59,5.0,100.0,Male,Electrical Engineering,Average
2.82,9.51,34.32,61.19,8.0,500.0,Male,Electrical Engineering,Average
1.91,12.15,21.02,35.66,6.0,300.0,Male,Other,At-Risk
0.73,0.0,0.0,46.95,5.0,100.0,Female,Mechanical Engineering,At-Risk
1.0,4.81,2.03,31.16,4.0,300.0,Male,Medicine,At-Risk
2.23,19.82,29.66,71.7,6.0,500.0,Male,Civil Engineering,At-Risk
0.77,0.0,6.07,57.47,7.0,500.0,Female,Accounting,At-Risk
3.64,15.45,59.84,71.22,8.0,500.0,Male,Other,Good
1.43,3.43,22.39,51.57,5.0,300.0,Male,Economics,At-Risk
1.86,10.84,28.15,39.99,4.0,200.0,Female,Business Administration,At-Risk
2.27,11.81,25.88,63.52,8.0,200.0,Male,Business Administration,At-Risk
2.37,21.24,32.28,53.51,6.0,200.0,Female,Mechanical Engineering,At-Risk
0.51,7.82,9.99,25.22,4.0,500.0,Male,Economics,At-Risk
